,Description,Sentiment,Subject
1227,"Bubba Wallace will have to pay a hefty fine for his actions following the recent Chicago Street Race, but he had a surprising take on the impact the incident has had on him. Wallace received a $50,000 fine for retaliatory contact for slamming into race winner Alex Bowman during the cooldown lap at Chicago. Bubba...The post Bubba Wallace makes surprising admission about his recent fine appeared first on Larry Brown Sports.",positive,
1228,"The Sporting News fills you in on the final results from Sunday's Cup Series race at Pocono, The Great American Gateway 400.",positive,
1229,"I want to believe that somebody out there in a sports world obsessed with money, possessions and the pursuit of a record-setting contract still believes in team, togetherness and the pursuit of a common goal.I want to believe in that ideal, but too often I give up in the face of overwhelming evidence that no such person exists and that we’re all alone on this cold planet.And, then, Friday.That’s when news broke that Jalen Brunson, pride of Stevenson High School, had opted to take a lesser contract from the Knicks in order to give his team the flexibility to pay teammates while signing other...",positive,
1230,"The Sporting News is live in Miami for the 2024 Copa America final, giving updates on the condition of the pitch at Hard Rock Stadium throughout the match between Argentina and Colombia.",negative,
1231,Sporting News will be tracking every pick made in the 2024 MLB Draft. Follow for live results from the three-day draft.,positive,
1232,"The title of the best side in the Americas will be on the line when the Copa America 2024 final takes place in Miami on July 14, but there is also big money at stake. The Sporting News breaks down the prize money for the tournament.",positive,
1233,"In the minutes following any tragedy or shocking event, social media is often where people look for information. Sadly, it&#8217;s also the place where misinformation thrives easiest and fastest, perhaps now more than ever. In the moments following the attempted assassination of former President Donald Trump on Saturday, various false reports about the identity of Read more...The post Italian sports journalist falsely identified as Trump shooter on social media, vows legal action appeared first on Awful Announcing.",negative,
1234,RIATH AL-SAMARRAI ON CENTRE COURT: Five weeks after going under a surgeon's knife Novak Djokovic had the grave misfortune to encounter a sporting phenomenon with an axe.,neutral,
1236,"Kyle Pitts has not made the impact in the passing game over the past two years that the Atlanta Falcons hoped he would, but it sounds like they are planning to address that by implementing some new plays for the tight end this season. New Falcons offensive coordinator Zac Robinson said this week that the...The post Falcons planning to use Kyle Pitts at 2 positions appeared first on Larry Brown Sports.",negative,
1237,"Team USA coach Kerr, Steph react to ‘demoralizing' Trump shooting&nbsp;&nbsp;NBC Sports Bay AreaTeam USA's Kerr: Trump shooting 'demoralizing'&nbsp;&nbsp;ESPNWarriors' Steve Kerr on Trump assassination attempt: 'Demoralizing day for our country'&nbsp;&nbsp;Fox NewsThomas Matthew Crooks: What we know about Donald Trump's attacker&nbsp;&nbsp;BBC.comTrump rally shooter identified as 20-year-old Thomas Matthew Crooks&nbsp;&nbsp;NBC News",neutral,
1238,Travis Hunter took a jab at Colorado's offensive line while playing EA Sports College Football 25 with Shedeur Sanders.,neutral,
1239,The Copa America 2024 final takes place on July 14 in the United States. The Sporting News looks back at all the previous finals of the continental competition.,negative,
1240,"Manchester United have announced the first signing of the INEOS era, as Joshua Zirkzee is now, officially, &#8220;red.&#8221;  The Dutch striker moves over for a fee of €42.5m (£35.8m) from Serie A side Bologna. The 23-year-old has agreed to a five-year deal with MUFC, with the option of a ­sixth season. He is expected to [&#8230;]The post Joshua Zirkzee Arrival Announced by Manchester United appeared first on The Sports Bank.",positive,
1241,Falcons receiver ready to breakout in new offense according to CBS Sports,positive,
1242,Free agent guard Patrick Beverley offered an intriguing update on his basketball future Sunday in a social media post. Beverley said on X that he is &#8220;weighing his options&#8221; between a veteran minimum contract in the NBA and what he called a &#8220;historic&#8221; contract to play in Europe. DEVELOPING: @patbev21 is currently weighing his options...The post Patrick Beverley provides intriguing update on his NBA future appeared first on Larry Brown Sports.,positive,
1243,"As 16,000 devotees piled into the AO Arena for England v Spain, the tide turned for Southgate and supporters dared to dream For all the questions that surrounded Gareth Southgate’s England team this summer, there was only one that mattered come kick-off in Berlin: did you dare to dream?Despite the negativity aimed at the Three Lions over the last six weeks – at times, it felt like kicking the manager became its own national sport – there were good reasons to believe. Continue reading...",positive,
1244,"The road tennis courts will blaze even hotter and brighter when the third edition of the sport&#8217;s most lucrative tournament the Barbados Road Tennis Open, serves off on July 28 at Belfield, St Michael, with over $100 000 at stake. In launching the competition at his Ministry of Youth Sports and Community Development office, a [&#8230;]The post $100 000 at stake in &#8216;the big one&#8217; appeared first on nationnews.com.",positive,
1245,"July 14th, 2010: the New York Red Bulls signed soccer superstar Thierry Henry. Henry spent five seasons in New York netting 51 goals and 42 assists.",positive,
1246,"The New York Yankees let one get away from them on Sunday in ugly fashion, with two defensive miscues leading to three Baltimore Oriole runs in the bottom of the ninth inning. Orioles closer Craig Kimbrel had coughed up a 3-2 lead in the ninth, and it looked like they were going to get swept...The post Yankees blow game against Orioles with 2 awful defensive mistakes appeared first on Larry Brown Sports.",negative,
1247,"Spain vs England LIVE Score, Euro 2024 Final: Lamine Yamal Scripts History | ESP 0-0 ENG In First Half&nbsp;&nbsp;NDTV SportsSpain vs England, Euro 2024 final LIVE: Shaw starts; ESP v ENG line-ups; Kick-off soon&nbsp;&nbsp;SportstarLIVE: Spain vs England – UEFA Euro 2024 final&nbsp;&nbsp;Al Jazeera EnglishHow to Watch Euro 2024 Final: Livestream the Spain vs. England Soccer Match From Anywhere&nbsp;&nbsp;CNETSpain vs England Live, Euro 2024 Final updates: Spain start on a positive note vs Engand&nbsp;&nbsp;Hindustan Times",positive,
1248,"NFL preseason games are typically nothing more than an opportunity for players to showcase their skills in hopes of making the final roster, but there is a reason the exhibition contests may hold more significance to teams this year. The NFL has completely revamped the kickoff play for 2024. The new format is designed to...The post NFL teams have 1 major focus in preseason appeared first on Larry Brown Sports.",positive,
1249,"Chinese divers are focused on winning all eight gold medals at the Paris Olympics. The Chinese have dominated the sport for decades but have never won every gold medal in diving in a single Olympics. They might this time, and their record is staggering. Counting from the 2008 Olympics in Beijing, Chinese have won 27 of the 32 available gold medals. Counting from 1984 in Los Angeles when China won its first diving gold, it has won 47 of 64 gold medals. Add to that, 23 silver and 10 bronze.",positive,
1250,"You wouldn’t know football is the world’s most popular sport by the way the average Queensland politician seems so determined to diminish the game. “Response to the A (sic) mid-sized rectangular stadium for Brisbane at Perry Park E-Petition presented to the Queensland Parliament,” read the subject line to an email that dropped into mine and [&#8230;]",positive,
1251,"The Copa America trophy is up for grabs this Sunday, as Argentina face Colombia in a highly anticipated final at Hard Rock Stadium in Miami. The Sporting News covers the latest team news, lineups, and key details regarding where to watch this match across major territories.",positive,
1252,"Minister of Tourism, Culture and Sport Owen Darrell, met with members of Bermuda&#8217;s Olympic Team &#8211;  Adriana Penruddock [sailing], Jack Harvey, [swimming] and Emma Harvey [swimming] &#8212; as they prepare for the upcoming games. A Government spokesperson said, &#8220;Recently as a show of support, the Minister of Tourism, Culture and Sport, Sen. Owen Darrell JP, [&#8230;]",positive,
1253,"Welcome to Wide World of Sports&#x27; LIVE coverage of the Euro 2024 final between Spain and England at the Olympiastadion in Berlin, Germany.",positive,
1254,Celebrities and former England stars have been seen arriving at the Olympiastadion in Berlin for England's Euro 2024 final clash against Spain.,neutral,
1256,"Sergio Garcia poses with the trophy after winning LIV Golf Andalucía. | Photo by Angel Martinez/Getty Images Anirban Lahiri missed a short putt of epic proportions, which paved the way for Sergio Garcia to claim his first LIV Golf win. Spain has already had a banner sports day, and the highly anticipated European Championship soccer final between the Spanish and the English has not even started yet.Carlos Alcaraz dominated Wimbledon, defeating the legendary Novak Djokovic in straight sets to win the oldest tennis tournament in the world for a second consecutive year. Then, in Andalucía...",positive,
1257,"Among the many variants of the highly popular Ford Explorer, the Sport Trac was the first of many midsize pickup trucks that was a very capable hauler.",positive,
1259,Many male celebrities from Lionel Messi to Austin Butler are ditching traditional fashion stereotypes and sporting female watches,positive,
1260,"La famille paternelle de Lamine Yamal, en vacances à Larache, se rendra en Allemagne ce dimanche pour assister à la finale de l'Euro opposant l'Espagne à l'Angleterre, et surtout, soutenir le jeune joueur qui a fêté ses 17 ans samedi. « Nous sommes impressionnés par ce que fait Lamine. C'est un exemple d'intégration et cela nous rend heureux qu'en Espagne, ils soient si heureux », a confié à La Vanguardia Abdul, l'oncle de l'international espagnol. Abdul, l'aîné de cinq frères, est (...)-Sport/ Lamine Yamal, Espagne, Barcelone, Football, Famille",neutral,
1261,Galway manager Padraic Joyce while delighted to see his side progress to an All-Ireland Final acknowledged that their semi-final clash with Donegal could have gone either way. He felt it was a brilliant game and overall his team were a little bit more mature as they went on to win by 1-14 to 0-15.The post &#8220;It could have gone any way&#8221; &#8211; Galway boss Padraic Joyce appeared first on Highland Radio - Latest Donegal News and Sport.,positive,
1262,WAG Dani Dyer sported an England shirt as she led the stars supporting the Three Lions in the Euros 2024 final on Sunday.,positive,
1263,"England will face Spain in the Euro 2024 final in Berlin on Sunday. The Sporting News covers the key details regarding where to watch the game across the world via live stream, TV channel, plus expected lineups and score prediction.",negative,
1265,"Le ministre des Sports zambien, Elvis Nkandu, a lancé un appel aux différentes parties prenantes du football en Zambie avant le début des éliminatoires de la CAN 2025. La Zambie n&#8217;a enregistré aucune victoire à la CAN 2023, avec des matchs nuls contre la RDC et la Tanzanie, et une défaite contre le Maroc. Sous [&#8230;]",positive,
1266,"Sembrerebbe essersi sbloccata la situazione legata ai diritti tv in Ligue 1. Secondo quanto riporta L’Equipe, i club sarebbero pronti ad accettare l’offerta da 500 milioni di euro a stagione di Dazn e Bein Sports, rispettivamente 400 milioni e 100 milioni. Con un totale di 500 milioni di euro all’anno per i diritti nazionali e 160 milioni di euro ...",neutral,
1267,Il Consiglio d’amministrazione della Federcalcio francese ha votato all’unanimità per l’offerta di Dazn-beIN Sports per trasmettere la Ligue 1. La cifra ruota intorno ai 500 milioni di euro.La Ligue 1 ha trovato finalmente casa: sarà trasmessa su Dazn e beINRmc Sport scrive:beIN Sports e Dazn sono le nuove emittenti della Ligue 1 nel periodo 20...,neutral,
1268,"Nuovo appuntamento con le SBC su EA Sports FC 24! Scopriamo insieme premi, requisiti, ed alcune possibili soluzioni della sfida creazione rosa Icona a scelta mista 92+ che ha come premio finale un pacchetto contenente una card Icona TOTY/UBD/GDC 92+ con valutazione 88 o superioreAnche quest’anno cercheremo, durante tutta la stagione, di tener...",neutral,
1269,"Oltre alla finale di EURO 2024 di questa sera tra Inghilterra e Spagna, nella notte Argentina e Colombia si affronteranno nella finale di Copa America. Secondo il portale argentino TyC Sports, è chiara la scelta di Lionel Scaloni su Lautaro Martinez.PER LA STORIA – Lautaro Martinez ormai ha fatto l’abitudine ai trofei. Tra Copa America e scudetto...",neutral,
1270,Colorado star Travis Hunter seems to have taken a big shot at some of his own teammates ahead of the 2024 season. Hunter and Colorado quarterback Shedeur Sanders had a chance to play &#8220;EA Sports College Football 25&#8221; in a live stream on Sunday. The video game is set to be released to the public...The post Travis Hunter seemingly trashes Colorado offensive line in viral video appeared first on Larry Brown Sports.,positive,
1271,John's Sky Sports colleague is urging people to give what they can.,neutral,
1272,"To fotballspillere og en Fjordkraft-salgsleder satser for fullt på å skape et bergensk klesmerke for en raskt voksende sport. Særlig én ting avgjør om de lykkes, mener professor.",neutral,
1273,"Pontiac is known for making some legendary muscle cars and sports cars before GM dumped it in 2009, but did the brand ever make a truck? Well, kind of.",positive,
1274,"The 17th edition of UEFA's European Championship will run from June 14-July 14, 2024. The Sporting News will provide a full breakdown of all the fixtures and latest results, as they happen.",positive,
1275,Spain vs England: Winner takes all as two European heavyweights clash in UEFA Cup Final to lift coveted silverwareThe post Spain vs England Live Blog: Three Lions & La Roja fight for Euro Cup title appeared first on Inside Sport India.,positive,
1276,"(wiwsport) -D&#8217;après les informations de l&#8217;inspecteur régional des sports de Ziguinchor, monsieur Ousmane Diagne, le stade Aline Sitoé Diatta de Ziguinchor est fermé depuis novembre 2023 pour une réhabilitation, mais il pourrait rouvrir ses portes bientôt, plus précisément en septembre. Les différentes ASC pourront se réjouir de cette nouvelle avec l&#8217;approche des Championnats Nationaux Populaires (CNP), [&#8230;]Cet article a été initialement publié sur wiwsport : site n°1 de l'actualité sportive du Sénégal (wiwsport.com).Article source :  Ousmane Diagne (...",neutral,
1277,"Technology is undeniably reshaping the sports industry in Malaysia, driving it into a new era of digital engagement, innovation, and economic growth. The rise of digital platforms and virtual sports has dramatically increased online viewership and participation, creating a dynamic sports ecosystem that benefits athletes, fans, and investors alike. Technologies like augmented reality (AR) and virtual reality (VR) are at the forefront of this transformation, promising to revolutionize how sports are consumed and experienced.Digital Platforms and Virtual SportsThe proliferation of digital...",positive,
1278,"Tim Heitman-USA TODAY Sports Philadelphia Eagles news and links for 7/14/24. Let’s get to the Philadelphia Eagles links ...Execs, coaches, scouts rank NFL’s top 10 offensive tackles for 2024 - ESPN+5. Lane Johnson, Philadelphia Eagles. Highest ranking: 3 | Lowest ranking: Unranked. Age: 34 | Last year’s ranking: 4. There has been no tangible drop-off in Johnson’s play after 11 seasons. In fact, Johnson led all run blockers with an 82.4 win rate in 2023. Usually, an interior player leads in this category. Similar to Williams, Johnson’s body eventually breaking down is the primary...",positive,
1279,"Carlos Alcaraz put together another outstanding performance on Sunday to win his second consecutive Wimbledon title, but the fans in attendance at Centre Court still felt there was one valid reason to boo him. After he defeated Novak Djokovic for the second straight year in the Wimbledon final, Alcaraz was asked about the big soccer...The post Carlos Alcaraz booed for 1 reason after winning Wimbledon title appeared first on Larry Brown Sports.",positive,
1280,"Tottenham Hotspur head to Heart of Midlothian FC, or Hearts as they&#8217;re known, on Wednesday night for a preseason friendly. The club actually made an appearance in season 2 of the wildly popular HBO series &#8220;Succession,&#8221; when Roman Roy (played by Kieran Culkin) attempted to impress his father, Logan (played by Brian Cox who is [&#8230;]The post Tottenham Hotspur Starting XI Prediction at Hearts (Preseason Friendly) appeared first on The Sports Bank.",positive,
1281,All-rounder Washington Sundar has pitched himself as the apt replacement for Jadeja after his performance in IND vs ZIM series The post Is Washington Sundar perfect replacement for Ravindra Jadeja? All-rounder resurrects India career with IND vs ZIM show appeared first on Inside Sport India.,positive,
1282,"(Foto de Stacy Revere/Getty Images) O Sacramento Kings ficou muito melhor. Adicionar DeMar DeRozan pode ser exatamente o que eles precisam para voltar aos playoffs, já que agora eles podem ter vários arremessadores em quadra o tempo todo. Pelo menos é assim que Domantas Sabonis se sente. Em conversa com a TMZ Sports, o grande [&#8230;]The post Domantas Sabonis revela sua opinião sobre a contratação de DeMar DeRozan appeared first on Jornal Espalha Fato.",positive,
1283,"Benches clear as tensions in reawakened Yankees-Orioles rivalry boil over&nbsp;&nbsp;USA TODAYKjerstad out after HBP that sparked Yanks-O's tiff&nbsp;&nbsp;ESPNYankees-Orioles fight erupts, benches clear after Heston Kjerstad hit in helmet with pitch - The Athletic&nbsp;&nbsp;The New York TimesOrioles' Heston Kjerstad on Concussion IL After HBP That Sparked Brawl With Yankees&nbsp;&nbsp;Sports IllustratedBenches clear between Yankees and Orioles after batter gets hit in head with 96 mph pitch&nbsp;&nbsp;Fox News",positive,
1284,In de rubriek Sport Kort besteedt Telesport aandacht aan het dagelijkse nieuws. Deze rubriek wordt gedurende de dag continu ververst met het laatste nieuws.,neutral,
1285,"The 21-year-old Spaniard came out on top once again in the Wimbledon final at the same Centre Court against the same gentleman who has won 24 Grand Slams, Novak Djokovic.The post Carlos Alcaraz takes away Novak Djokovic&#8217;s &#8216;leg and soul&#8217; in crushing Wimbledon final appeared first on Inside Sport India.",positive,
1286,"While the likes of Mohammed Siraj and Avesh Khan are there as options, here's why Team India need Mukesh Kumar in T20Is to partner alongside Bumrah and Arshdeep. The post After Bumrah & Arshdeep, Team India have their third-best pacer locked in Mukesh Kumar! appeared first on Inside Sport India.",positive,
1287,"Novak Djokovic lost to Carlos Alcaraz in the Wimbledon final on Sunday, but he could not help but smile during one lighthearted moment in his post-match interview. The interviewer on Centre Court began her first question to Djokovic by noting that the 37-year-old was &#8220;up against such a hot, talented opponent&#8221; in Alcaraz. Djokovic could...The post Novak Djokovic had funny moment in interview after Wimbledon loss appeared first on Larry Brown Sports.",positive,
1289,Tribune OnlineTinubu’s horse clinches 1st at racing derby in KadunaPresident Bola  Ahmed Tinubu’s horse named ‘Renewed Hope’ has won the ‘Hope Renewed 1st Year Anniversary Horse Racing Derby’ that ended in Kaduna on Saturday. The Nigerian Tribune gathered  that the four-day epochal sports that opened on Thursday was organised by the Horse Racing Federation of Nigeria (HRFN). It was further gathered that Tinubu’s winning [&#8230;]Tinubu’s horse clinches 1st at racing derby in KadunaTribune Online,positive,
1290,Celebrities who support the Jambos that you may or may not have been aware of.,positive,
1291,"Euro 2024 final updates, 8pm BST/9pm CET kick-offTactical breakdown | Golden Boot | And get in touchYou’d better believe it Brenda. For the fourth year in a row, England are in the final of a major football tournament and a nation is high on life, football and the harmonies of Neil Diamond.The prodigal sport could finally return home tonight. After 58 years of hurt, and 28 years of talking about years of hurt, England’s players* have the chance to become immortal. There’s just one problem: Spain are really good. Continue reading...",positive,
1292,"Rangers forward Cyriel Dessers has reacted to reports linking him with a move away from the Ibrox , reports Completesports.com. Dessers has been linked with a move to Greek Super League champions PAOK Salonica. Clubs in Saudi Arabia, Spain, Italy and France are also reportedly monitoring his situation at Rangers. The Gers are also said [&#8230;]The post &#8216;I&#8217;m Very Happy Here&#8217; &#8212; Dessers Reacts To Rangers Exit Reports appeared first on Complete Sports.",positive,
1293,"Immer wieder sprechen Funktionäre davon, dass der Sport unpolitisch bleiben müsse. Dabei zeigt auch diese Europameisterschaft: Fußball ist immer politisch.",neutral,
1294,"The preseason is now here- huzzah! The very first friendly sees Tottenham traveling to the Scottish capital, Edinburgh, to take on Hearts. This match could provide the first opportunity for Tottenham fans to see new signings Lucas Bergvall and Archie Gray in action in their new club&#8217;s shirt. Gray has already featured for Spurs in [&#8230;]The post Tottenham Team News at Hearts: Lucas Bergvall, Archie Gray, Timo Werner appeared first on The Sports Bank.",positive,
1295,"Mail Sport understands that the Red Devils have paid above the 23-year-old's £34m release clause for the Netherlands' international, who arrived in Manchester on Thursday night.",neutral,
1296,"Before heading for his comeback, India’s stylish opener KL Rahul visited the Sri Durga Parameshwari Temple in Karnataka's Mangaluru.The post KL Rahul seeks blessings at Mangaluru Sri Durga Parameshwari Temple ahead of comeback in Sri Lanka tour appeared first on Inside Sport India.",positive,
1297,"Tee Higgins has been wrapped up in a contract dispute with the Cincinnati Bengals, and there will reportedly be no resolution this offseason. The Bengals placed the franchise tag on Higgins in February. That led to talk of the veteran wide receiver requesting a trade, but he remains with the team. According to Ian Rapoport...The post Tee Higgins, Bengals make big decision on contract appeared first on Larry Brown Sports.",positive,
1298,"Former Baltimore Ravens wide receiver Jacoby Jones has died. Multiple reporters shared the news on Sunday that Jones has died at the age of 40. The cause of death was not immediately known, but several of Jones&#8217; ex-teammates and other players shared tributes to the former third-round draft pick. na bra no way RIP LEGEND...The post Ex-Super Bowl hero Jacoby Jones dies &#8211; dead at 40 appeared first on Larry Brown Sports.",negative,
1299,Der SV Ein­tracht Nas­sig 1924 hält seit 100 Jah­ren zu­sam­men und be­geis­tert al­le Ge­ne­ra­tio­nen für Sport. Das be­son­de­re Ju­bi­läum fei­ert man ak­tu­ell zu­sam­men mit der Wert­hei­mer Stadt­meis­ter­schaf­ten im Fuß­ball und Vol­ley­ball.,neutral,
1300,"(marketscreener.com) CommonWealth Magazine recognizes company&rsquo;s impact on global AI growthTaipei, Taiwan, July 14, 2024 -- CommonWealth Magazine has named Alchip the overall #1 company in Taiwan&rsquo;s AI supply chain.&nbsp; The publication&rsquo;s ranking is based in part on the fact that it attributes over 70% of Alchip&rsquo;s revenue to AI-related ASIC...https://www.marketscreener.com/quote/stock/ALCHIP-TECHNOLOGIES-LIMIT-20706246/news/Alchip-Technologies-Ranked-as-Taiwan-s-1-AI-Company-47377595/?utm_medium=RSS&utm_content=20240714",neutral,
1301,"SoundHound AI (Nasdaq: SOUN) is up 199% in 2024, which puts it behind only Super Micro Computer (Nasdaq: SMCI) among the top-performing technology stocks. Let&#8217;s take a look at SoundHound&#8217;s recent performance and why investors keep bidding up the company&#8217;s share price. Need-to-Know Items SoundHound AI is one of the top-performing stocks in the market [&#8230;]The post Here&#8217;s Why SoundHound AI Is Up 199% in 2024 appeared first on 24/7 Wall St..",positive,
1303,"The Ministry of Education, Technological and Vocational Training has expressed grave concerns regarding videos circulating online that depict inappropriate behaviours by primary school students on their final day of school. It is reported that the school&#8217;s principal has initiated measures to address the issue, including contacting parents and scheduling a meeting on July 16, with [&#8230;]The post Ministry of Education issues statement on video circulating of primary school students appeared first on nationnews.com.",positive,
1304,"NVIDIA (Nasdaq: NVDA) had an up-and-down week. It started the week with strong gains after a series of upgrades and positive notes from Wall Street but saw a steep 5.6% sell-off on Thursday after investors rotated out of technology following a soft CPI report from the Federal Reserve. So, we wanted to highlight the most essential [&#8230;]The post Wall Street Just Revealed NVIDIA&#8217;s Path to $200 Per Share By the End of 2024 appeared first on 24/7 Wall St..",positive,
1305,"The Ministry of Education, Technological and Vocational Training is deeply concerned about videos circulating that depict grossly inappropriate behaviours by some primary school students on what appears to be their&#8230;The post Education Ministry concerned about videos of students depicting grossly inappropriate behaviours appeared first on Barbados Today.",positive,
1306,Andhra Pradesh Police Embrace Technology to Enhance Law Enforcement,neutral,
1319,"Since the beginning of 2024, Malaga’s drone industry has tripled the value of its exports, primarily pertaining to the software design and engineering of these devices. Despite the association of drone technology with the military, especially in the ongoing Russo-Ukrainian war, companies like iJet Aviation are working to change that. Focusing on the private aviation [&#8230;]",positive,
1320,"NASSAU, BAHAMAS – Police are questioning a 23-year-old male in connection with a shooting incident that occurred on Sunday 14th July, 2024, which left one (1) male dead and another injured. Police were alerted just around 2:30 a.m. by its ShotSpotter Technology of gunshots being detected on Nassau Street at a licensed premises. Upon arrival, [&#8230;]",positive,
1322,"Oppenheimer & Co. Inc. lifted its holdings in shares of ServiceNow, Inc. (NYSE:NOW &#8211; Free Report) by 7.0% in the 1st quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The firm owned 5,939 shares of the information technology services provider&#8217;s stock after buying an additional 387 shares [&#8230;]",positive,
1325,"Oppenheimer & Co. Inc. grew its holdings in Seagate Technology Holdings plc (NASDAQ:STX &#8211; Free Report) by 29.3% in the 1st quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 20,973 shares of the data storage provider&#8217;s stock after purchasing an additional 4,752 shares during the [&#8230;]",positive,
1326,"Oppenheimer & Co. Inc. boosted its holdings in Jack Henry & Associates, Inc. (NASDAQ:JKHY &#8211; Free Report) by 3.2% during the first quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 11,896 shares of the technology company&#8217;s stock after acquiring an additional 370 shares during [&#8230;]",positive,
1327,"NetSol Technologies, Inc. (NASDAQ:NTWK &#8211; Get Free Report) shares crossed above its two hundred day moving average during trading on Friday . The stock has a two hundred day moving average of $2.59 and traded as high as $2.80. NetSol Technologies shares last traded at $2.76, with a volume of 9,719 shares changing hands. Wall [&#8230;]",positive,
1328,"Shares of Hollysys Automation Technologies Ltd. (NASDAQ:HOLI &#8211; Get Free Report) passed above its 200-day moving average during trading on Friday . The stock has a 200-day moving average of $24.54 and traded as high as $25.51. Hollysys Automation Technologies shares last traded at $25.27, with a volume of 1,153,137 shares changing hands. Wall Street [&#8230;]",positive,
1329,"Ispire Technology Inc. (NASDAQ:ISPR &#8211; Get Free Report) was the recipient of a significant growth in short interest during the month of June. As of June 30th, there was short interest totalling 317,500 shares, a growth of 27.8% from the June 15th total of 248,500 shares. Based on an average daily trading volume, of 64,700 [&#8230;]",positive,
1330,"PFG Advisors lifted its stake in shares of AT&T Inc. (NYSE:T &#8211; Free Report) by 32.9% during the first quarter, according to the company in its most recent Form 13F filing with the SEC. The firm owned 40,745 shares of the technology company&#8217;s stock after acquiring an additional 10,096 shares during the quarter. PFG Advisors&#8217; [&#8230;]",positive,
1332,"Oppenheimer & Co. Inc. cut its position in shares of AMETEK, Inc. (NYSE:AME &#8211; Free Report) by 1.5% during the 1st quarter, according to the company in its most recent filing with the SEC. The firm owned 13,038 shares of the technology company&#8217;s stock after selling 200 shares during the quarter. Oppenheimer & Co. Inc.&#8217;s [&#8230;]",positive,
1333,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management purchased a new position in Marvell Technology, Inc. (NASDAQ:MRVL &#8211; Free Report) during the first quarter, Holdings Channel reports. The fund purchased 8,904 shares of the semiconductor company&#8217;s stock, valued at approximately $631,000. Several other hedge funds have also recently made changes to their positions in MRVL. [&#8230;]",positive,
1334,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management bought a new stake in Fortive Co. (NYSE:FTV &#8211; Free Report) during the 1st quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission (SEC). The institutional investor bought 8,481 shares of the technology company&#8217;s stock, valued at approximately $730,000. Other [&#8230;]",positive,
1335,"Empirical Financial Services LLC d.b.a. Empirical Wealth Management acquired a new stake in Fortive Co. (NYSE:FTV &#8211; Free Report) during the 1st quarter, Holdings Channel.com reports. The fund acquired 8,481 shares of the technology company&#8217;s stock, valued at approximately $730,000. Other hedge funds and other institutional investors have also added to or reduced their stakes [&#8230;]",positive,
1336,"10,049 Shares in BWX Technologies, Inc. (NYSE:BWXT) Acquired by PFG Advisors",neutral,
1337,"PFG Advisors increased its holdings in shares of Palo Alto Networks, Inc. (NASDAQ:PANW &#8211; Free Report) by 15.8% during the first quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 3,440 shares of the network technology company&#8217;s stock after acquiring an additional 470 [&#8230;]",positive,
1338,"PFG Advisors purchased a new stake in BWX Technologies, Inc. (NYSE:BWXT &#8211; Free Report) in the 1st quarter, according to the company in its most recent filing with the Securities & Exchange Commission. The institutional investor purchased 10,049 shares of the technology company&#8217;s stock, valued at approximately $1,031,000. Several other institutional investors and hedge funds [&#8230;]",positive,
1340,"PFG Advisors lifted its position in Gartner, Inc. (NYSE:IT &#8211; Free Report) by 2.1% in the 1st quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The fund owned 2,382 shares of the information technology services provider&#8217;s stock after purchasing an additional 48 shares during the quarter. PFG [&#8230;]",positive,
1341,"Oppenheimer & Co. Inc. increased its holdings in shares of Microchip Technology Incorporated (NASDAQ:MCHP &#8211; Free Report) by 18.1% in the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 42,630 shares of the semiconductor company&#8217;s stock after purchasing an additional 6,546 shares during the quarter. Oppenheimer [&#8230;]",positive,
1342,"Oppenheimer & Co. Inc. decreased its stake in The Trade Desk, Inc. (NASDAQ:TTD &#8211; Free Report) by 6.5% during the 1st quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The firm owned 46,363 shares of the technology company&#8217;s stock after selling 3,215 shares during the quarter. Oppenheimer & [&#8230;]",positive,
1343,"Oppenheimer & Co. Inc. grew its holdings in CoStar Group, Inc. (NASDAQ:CSGP &#8211; Free Report) by 2.4% during the 1st quarter, according to the company in its most recent disclosure with the SEC. The fund owned 41,356 shares of the technology company&#8217;s stock after purchasing an additional 978 shares during the quarter. Oppenheimer & Co. [&#8230;]",positive,
1344,"Ashtead Technology Holdings Plc (LON:AT &#8211; Get Free Report)&#8217;s stock price traded up 1.6% during trading on Friday . The company traded as high as GBX 828 ($10.61) and last traded at GBX 828 ($10.61). 96,642 shares traded hands during trading, The stock had previously closed at GBX 815 ($10.44). Wall Street Analysts Forecast Growth [&#8230;]",positive,
1345,Ashtead Technology (LON:AT) Trading 1.6% Higher,positive,
1346,Senmiao Technology Limited (NASDAQ:AIHS) Sees Significant Growth in Short Interest,positive,
1347,"Senmiao Technology Limited (NASDAQ:AIHS &#8211; Get Free Report) was the recipient of a large growth in short interest in the month of June. As of June 30th, there was short interest totalling 392,700 shares, a growth of 20.8% from the June 15th total of 325,100 shares. Based on an average daily trading volume, of 25,200 [&#8230;]",positive,
